Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Text,Alternate Art,Rarity
hBP07-024,"大神ミオ
(Ookami Mio)",,Debut holomem,U,Green,130,#JP #GAMERS #Kemomimi #Cooking,"Gift: My Precious Family
[1/Turn]When <Mio-fam> is attached to this holomem, draw 1 card.

Arts: Let's laugh a lot today too
Cost: 1 green
Power: 10+
You may archive the top card of your deck. If the archived card is a support card, this Arts gets +30.",,
hBP07-025,"大神ミオ
(Ookami Mio)",,1st holomem,C,Green,170,#JP #GAMERS #Kemomimi #Cooking,"Collab Effect: Matcha Parfait! with love
Choose 1 of your holomem with #GAMERS and with a support card attached. During this turn, the chosen holomem gets Arts+20.

Arts: Welcome to Gamers Cafe
Cost: 1 any color
Power: 20
Send 1 cheer from your archive to 1 of your holomem with #GAMERS.",,
hBP07-026,"大神ミオ
(Ookami Mio)",,1st holomem,C,Green,140,#JP #GAMERS #Kemomimi #Cooking,"Bloom Effect: I hope they get here soon...
Reveal 1 [<Pigeotaurus> or <Mio-fam>] from your deck, and add it to hand. Then, shuffle the deck.

Arts: It's kinda stylish, right?
Cost: 1 any color
Power: 40",,
hBP07-027,"大神ミオ
(Ookami Mio)",,1st holomem,R,Green,160,#JP #GAMERS #Kemomimi #Cooking,"Bloom Effect: The Queen of Hearts' Command
Choose 1 of your back holomem other than this holomem. During this turn, the chosen holomem gets Arts+30.

Arts: Call me Your Majesty
Cost: 2 green
Power: 70
[Center Position Only]When this Arts downed your opponent's holomem, draw 1 card.",,
hBP07-028,"大神ミオ
(Ookami Mio)",,2nd holomem,U,Green,200,#JP #GAMERS #Kemomimi #Cooking,"Collab Effect: Golden-eyed Star
Look at the top 2 cards of your deck. Add 1 card from among them to hand. Then, return the remaining card to the top of the deck.

Arts: May everyone's wishes reach the heavens
Cost: 1 green, 1 any color
Power: 90+, +50 vs blue
You may archive the top card of your deck. If the archived card is a support card, this Arts gets +50.",,
hBP07-029,"大神ミオ
(Ookami Mio)",,2nd holomem,RR,Green,200,#JP #GAMERS #Kemomimi #Cooking,"Gift: Earth Mother Goddess
[1/Turn]During your opponent's turn, when this holomem takes damage, if this holomem has a support card attached, restore 50 HP to this holomem.

Arts: Upright Leading
Cost: 3 any color
Power: 130+, +50 vs yellow
You may archive the top card of your deck:If the archived card is a holomem, send the top card of your cheer deck to your holomem. If it is a support card, this Arts gets +50.",,UR
hBP07-030,"風真いろは
(Kazama Iroha)",,2nd holomem,R,Green,210,#JP #holoX,"Bloom Effect: holoRêve -Iroha-
When bloomed from a Buzz holomem, restore 100 HP to 1 of your holomem.

Arts: Many Treasures
Cost: 2 green
Power: 100, +50 vs yellow
You may archive 2 cheers from this holomem:Draw 2 cards.",,
hBP07-031,"アイラニ・イオフィフティーン
(Airani Iofifteen)",,1st Buzz holomem,R,Green,240,#ID #ID Gen 1 #Painting,"Bloom Effect: This brilliance is us!
You may archive the top 2 cards of your holo Power:Draw 2 cards.

Arts: Voices that become one
Cost: 1 green, 1 any color
Power: 50
If your oshi holomem is green, blue or yellow, put the top card of your deck as holo Power.

Extra: If this holomem is downed, you get life-2",,
hBP07-032,"輪堂千速
(Rindo Chihaya)",,Debut holomem,C,Green,130,"#DEV_IS
#FLOW GLOW","Collab Effect: Let's go for a drive
If you went second and it is your first turn, reveal 1 [1st holomem <Rindo Chihaya> and/or <Fugutaro>] each from your deck, and add them to hand. Then, shuffle the deck.

Arts: A gust of night wind
Cost: 1 any color
Power: 10",,
hBP07-033,"輪堂千速
(Rindo Chihaya)",,1st holomem,U,Green,160,"#DEV_IS
#FLOW GLOW","Bloom Effect: Teal Mermaid
Choose 1 of your holomem with #FLOW GLOW that has bloomed this turn. During this turn, the chosen holomem gets Arts+30.

Arts: ~Something blue~ Chihaya
Cost: 1 green, 1 any color
Power: 50",,
hBP07-034,"輪堂千速
(Rindo Chihaya)",,1st holomem,R,Green,190,"#DEV_IS
#FLOW GLOW","Bloom Effect: Let's drive like crazy!!!
You may archive 1 cheer from your stage:Reveal 1 [Debut holomem, 1st holomem or Spot holomem] with #FLOW GLOW from your deck, and add it to hand. Then, shuffle the deck.

Arts: Which is faster?!?!?!
Cost: 1 any color
Power: 20+
If <Fugutaro> is attached to this holomem, this Arts gets +10.",,
hBP07-035,"輪堂千速
(Rindo Chihaya)",,2nd holomem,RR,Green,190,"#DEV_IS
#FLOW GLOW","Collab Effect: Give Me Hype!!
Send the top card of your cheer deck to this holomem for each time your holomem with #FLOW GLOW bloomed this turn.

Arts: Surging Exhaust
Cost: 2 green, 2 any color
Power: 160, +50 vs blue
Count the number of cheers attached to this holomem, and return all cheers attached to this holomem to the bottom of your cheer deck in any order. Draw cards until your hand has the same number of cards as the number of cheers returned.",,UR
hBP07-036,"赤井はあと
(Akai Haato)",,Debut holomem,C,Red,110,#JP #Gen 1 #Cooking,"Collab Effect: AKAI HAATO VS HAACHAMA
If you went second and it is your first turn, reveal 2 Debut holomem <Akai Haato> from your deck, and place them on stage. Then, shuffle the deck.

Arts: Which do you prefer?♡
Cost: 1 any color
Power: 30",,
hBP07-037,"赤井はあと
(Akai Haato)",,Debut holomem,U,Red,100,#JP #Gen 1 #Cooking,"Collab Effect: Travel with Chama!
If your center holomem is <Akai Haato>, draw 1 card.

Arts: The journey has only just begun.
Cost: 1 any color
Power: 20",,
hBP07-038,"赤井はあと
(Akai Haato)",,1st holomem,C,Red,150,#JP #Gen 1 #Cooking,"Bloom Effect: Genju Gourmet Hunter
Roll a die once. If it is odd, deal 20 special damage to your opponent's center holomem. If it is even, draw 1 card.

Arts: hololiveEN0
Cost: 1 any color
Power: 30
During this turn, all holomem on your stage with #EN get Arts+20.",,
hBP07-039,"赤井はあと
(Akai Haato)",,1st holomem,C,Red,160,#JP #Gen 1 #Cooking,"Gift: Is the blood flying?
[1/Turn]During your turn, when your <Akai Haato> returns from your stage to deck, you may send 1 cheer from your archive to this holomem.

Arts: My name is ""Chamao"" and I'm a real man!
Cost: 1 red, 1 any color
Power: 50
Deal 20 special damage to your opponent's center holomem.",,
hBP07-040,"赤井はあと
(Akai Haato)",,1st holomem,R,Red,170,#JP #Gen 1 #Cooking,"Collab Effect: Haachama ♥ Restaurant
You may return 1 Debut <Akai Haato> from your back position to the bottom of your deck:Reveal 1 [1st holomem or 2nd holomem] other than Buzz from your deck, and add it to hand. Then, shuffle the deck.

Arts: Our specialty Haaton Burger!
Cost: 1 red
Power: 40",,
hBP07-041,"赤井はあと
(Akai Haato)",,2nd holomem,U,Red,200,#JP #Gen 1 #Cooking,"Collab Effect: EVERYBODY SAY HENTAI
Deal 50 special damage to your opponent's collab holomem.

Arts: Plan to be loved by all things
Cost: 1 red, 1 any color
Power: 80+, +50 vs green
If all cheers on your stage are red cheers, this Arts gets +20.",,
hBP07-042,"赤井はあと
(Akai Haato)",,2nd holomem,RR,Red,200,#JP #Gen 1 #Cooking,"Arts: Pure Heart Tarantella
Cost: 2 red
Power: 80, +50 vs purple
Deal 40 special damage to your opponent's center holomem and collab holomem.

Arts: Journey to Happiness
Cost: 1 red, 2 any color
Power: 140+, +50 vs purple
If your holomem returned from your stage to deck this turn, this Arts gets +50.",,UR
hBP07-043,"さくらみこ
(Sakura Miko)",,2nd holomem,R,Red,210,#JP #Gen 0 #Baby,"Collab Effect: holoRêve -Miko-
Choose the number 3 or 5. During this turn, when you roll a die using the ability of your Oshi holomem <Sakura Miko> or any <Sakura Miko> on your stage, regard all numbers on the faces of that die as the chosen number.

Arts: Revelation of cherry blossoms
Cost: 3 red, 1 any color
Power: 70+, +50 vs purple
For each <35P> attached to this holomem, this Arts gets +70 and you draw 1 card.",,
hBP07-044,"尾丸ポルカ
(Omaru Polka)",,2nd holomem,R,Red,200,#JP #Gen 5 #Kemomimi,"Gift: The Show Must Go On
[Center Position・Collab Position Only]During your opponent's turn, when your Buzz holomem with a fan attached is downed, if your Oshi holomem is <Omaru Polka>, you take -1 Life Damage.

Arts: Staff First!
Cost: 2 red
Power: 120, +50 vs purple
Archive the top 2 cards of your deck. You may return 1 staff from your archive to hand.",,
hBP07-045,"ハコス・ベールズ
(Hakos Baelz)",,1st Buzz holomem,R,Red,230,#EN #Promise #Kemomimi,"Gift: I'm getting hyped!
[Center Position・Collab Position Only]When you use your SP Oshi Skill, put the top card of your deck as holo Power.

Arts: It's not fun without you
Cost: 1 red, 1 any color
Power: 20+
This Arts gets +20 for each card in your hand.

Extra: If this holomem is downed, you get life-2",,
hBP07-046,"エリザベス・ローズ
ブラッドフレイム
(Elizabeth Rose Bloodflame)",,Debut holomem,C,Red,130,#EN #Justice #Singing,"Collab Effect: Taking Back the Initiative!
If you went second and it is your first turn, reveal 1 [1st holomem <Elizabeth Rose Bloodflame> and/or <Thorn>] each from your deck, and add them to hand. Then, shuffle the deck.

Arts: Onwards and Upwards!
Cost: 1 any color
Power: 30",,
hBP07-047,"エリザベス・ローズ
ブラッドフレイム
(Elizabeth Rose Bloodflame)",,1st holomem,U,Red,120,#EN #Justice #Singing,"Collab Effect: ...Very well.
If your Oshi holomem is <Elizabeth Rose Bloodflame>, put the top card of your deck as holo Power.

Arts: Now come at me at your worst!
Cost: 1 red
Power: 50",,
hBP07-048,"エリザベス・ローズ
ブラッドフレイム
(Elizabeth Rose Bloodflame)",,1st Buzz holomem,R,Red,260,#EN #Justice #Singing,"Gift: Queen of Impersonation
This holomem may use the Arts of any holomem on your stage with #EN (correct cheer is required to use those Arts).

Arts: Because I love people's voices
Cost: 1 red, 1 any color
Power: 60
Return 1 holomem with #EN from your archive to hand.

Extra: If this holomem is downed, you get life-2",,
hBP07-049,"エリザベス・ローズ
ブラッドフレイム
(Elizabeth Rose Bloodflame)",,2nd holomem,RR,Red,210,#EN #Justice #Singing,"Gift: Gorgeous Einsatz
[Center Position・Collab Position Only]When your holomem downs your opponent's holomem, choose 1 of your holomem. During this turn, the chosen holomem requires -2 colorless for its Arts.

Arts: Unyielding Concerto
Cost: 1 red, 2 any color
Power: 130+, +50 vs yellow
If your life is 4 or less, this Arts gets +30. If your life is 2 or less, this Arts gets +60 instead.",,UR
hBP07-050,"オーロ・クロニー
(Ouro Kronii)",,Debut holomem,C,Blue,130,#EN #Promise,"Collab Effect: Today's the day!
If you went second and it is your first turn, you may bloom your center holomem <Ouro Kronii> using a 1st holomem in your hand. This ability allows you to bloom on your first turn.

Arts: Golden Lure
Cost: 1 any color
Power: 10",,
hBP07-051,"オーロ・クロニー
(Ouro Kronii)",,Debut holomem,U,Blue,130,#EN #Promise,"Collab Effect: TAKE YOUR TIME
You may reattach 1 cheer from your stage to your holomem with #Promise other than this holomem.

Arts: Check This Out Yo 👓
Cost: 1 any color
Power: 30",,
hBP07-052,"オーロ・クロニー
(Ouro Kronii)",,1st holomem,C,Blue,160,#EN #Promise,"Collab Effect: It's Time desuwa!
You may attach 1 mascot from your archive to this holomem.

Arts: It's my new catchphrase. What do you think?
Cost: 1 any color
Power: 30+
If your stage has a holomem with #Promise other than <Ouro Kronii>, this Arts gets +10.",,
hBP07-053,"オーロ・クロニー
(Ouro Kronii)",,1st holomem,C,Blue,150,#EN #Promise,"Bloom Effect: A Timeless Promise
Choose 1 holomem with #Promise on your stage. During this turn, the chosen holomem gets Arts+20.

Arts: Everlasting Flower
Cost: 1 blue, 1 any color
Power: 50
Send the top card of your cheer deck to your holomem with #Promise.",,
hBP07-054,"オーロ・クロニー
(Ouro Kronii)",,1st Buzz holomem,R,Blue,250,#EN #Promise,"Arts: I'm pretty shy...uwu
Cost: 1 blue
Power: 50
Send the top card of your cheer deck to your Buzz holomem with #Promise.

Extra: If this holomem is downed, you get life-2",,
hBP07-055,"オーロ・クロニー
(Ouro Kronii)",,2nd holomem,U,Blue,190,#EN #Promise,"Bloom Effect: Toward a Promised Future
Choose 1 holomem with #Promise on your stage. During this turn, the chosen holomem gets Arts+50.

Arts: Life Goes On
Cost: 1 blue, 1 any color
Power: 90, +50 vs white",,
hBP07-056,"オーロ・クロニー
(Ouro Kronii)",,2nd holomem,RR,Blue,200,#EN #Promise,"Gift: Commander of Time
[Center Position Only]At the start of your performance phase, you may bloom 1 of your other <Ouro Kronii> using a holomem that is stacked to this holomem.

Arts: You're not ready for me.
Cost: 2 blue, 2 any color
Power: 80+, +50 vs red
You may reattach 1 cheer from this holomem to your other holomem with #Promise. If your Oshi holomem is <Ouro Kronii>, this Arts gets +100.",,UR
hBP07-057,"猫又おかゆ
(Nekomata Okayu)",,2nd holomem,R,Blue,200,#JP #GAMERS #Kemomimi,"Collab Effect: Playing with you makes my heart beat faster...
Deal 30 special damage to 1 of your opponent's holomem.

Arts: Hiya!! You let your guard down~
Cost: 2 blue, 1 any color
Power: 100, +50 vs red
If your Oshi holomem is <Nekomata Okayu> and your opponent has a back holomem which has taken 100 or more damage, deal 50 special damage to 1 of your opponent's holomem.",,
hBP07-058,"こぼ・かなえる
(Kobo Kanaeru)",,1st holomem,R,Blue,160,#ID #ID Gen 3,"Bloom Effect: Happy For You
Reveal 1 cheer from your cheer deck with the same color as 1 holomem with #ID Gen 3 on your stage, and send it to your holomem. Then, shuffle the cheer deck.

Arts: MANTAP LEE!!
Cost: 1 blue, 2 any color
Power: 60
If your opponent has 3 or more back holomem with reduced HP, draw 2 cards.",,
hBP07-059,"シオリ・ノヴェラ
(Shiori Novella)",,Debut holomem,C,Blue,120,#EN #Advent,"Collab Effect: It's Time to Play Dress-up!
If you went second and it is your first turn, return 1 support card from your archive to hand.

Arts: A Cozy, Spooky Night Together
Cost: 1 any color
Power: 10
Deal 10 special damage to 1 of your opponent's holomem.",,
hBP07-060,"シオリ・ノヴェラ
(Shiori Novella)",,1st holomem,U,Blue,190,#EN #Advent,"Arts: Food Anatomy
Cost: 1 any color
Power: 10

Arts: Don't Let Her Cook!
Cost: 1 blue
Power: 50
This Arts may not be used unless you have 4 or more support cards in your archive.",,
hBP07-061,"シオリ・ノヴェラ
(Shiori Novella)",,1st holomem,R,Blue,140,#EN #Advent,"Bloom Effect: A New Chapter Begins!
If your Oshi holomem is <Shiori Novella>, look at the top 4 cards of your deck. Reveal 1 support card from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: There's no way I'd let them get away, right?
Cost: 1 blue
Power: 20
Deal 20 special damage to 1 of your opponent's back holomem.",,
hBP07-062,"シオリ・ノヴェラ
(Shiori Novella)",,2nd holomem,RR,Blue,200,#EN #Advent,"Collab Effect: A New Crime & A New Me
You may archive 2 support cards from your hand:Choose 1 holomem on your stage. During this turn, the chosen holomem gets Arts+50.

Arts: Forbidden Knowledge Unleashed
Cost: 1 blue
Power: 60+, +50 vs red
Send 1 cheer from your archive to your holomem with #Advent. If your Oshi holomem is <Shiori Novella> and 4 or more cheers are attached to this holomem, this Arts gets +100.",,UR
hBP07-063,AZKi,,Debut holomem,C,Purple,120,#JP #Gen 0 #Singing,"Collab Effect: Exciting night camp
If you went second, it is your first turn, and your Oshi holomem is <AZKi>, return 1 cheer from your opponent's stage to the bottom of the cheer deck.

Arts: A space that is close to you
Cost: 1 any color
Power: 30",,
hBP07-064,AZKi,,Debut holomem,U,Purple,130,#JP #Gen 0 #Singing,"Arts: Come and relax♡
Cost: 1 any color
Power: 20
Reveal 1 <Pioneers> from your deck, and attach it to your <AZKi>. Then, shuffle the deck.",,
hBP07-065,AZKi,,1st holomem,C,Purple,190,#JP #Gen 0 #Singing,"Arts: Let's get excited!
Cost: 1 any color
Power: 30
Draw 1 card, and archive 1 card from your hand.

Arts: Let me hear everyone's voices!!!
Cost: 1 purple, 3 any color
Power: 120",,
hBP07-066,AZKi,,1st holomem,C,Purple,170,#JP #Gen 0 #Singing,"Collab Effect: A diva from the virtual world
Restore 30 HP to 1 of your holomem. Choose 1 holomem on your stage. During this turn, the chosen holomem gets Arts+10.

Arts: I love music and singing!
Cost: 1 any color
Power: 40",,
hBP07-067,AZKi,,1st holomem,R,Purple,150,#JP #Gen 0 #Singing,"Bloom Effect: ROMANTiC NiGHT
Look at the top 4 cards of your deck. Reveal 1 <AZKi> from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: A night alone with you
Cost: 1 purple, 1 any color
Power: 40
You may archive 1 card from your hand:Deal 20 special damage to your opponent's center holomem or collab holomem.",,
hBP07-068,AZKi,,2nd holomem,U,Purple,210,#JP #Gen 0 #Singing,"Collab Effect: The path we've walked together
During this turn, this holomem gets Arts+20 for each differently named holomem with #Gen 0 on your stage.

Arts: I'm waiting for your White Day gift
Cost: 2 any color
Power: 100, +50 vs yellow",,
hBP07-069,AZKi,,2nd holomem,RR,Purple,220,#JP #Gen 0 #Singing,"Arts: To a new frontier with you
Cost: 1 purple, 2 any color
Power: 140, +50 vs green
Draw 2 cards.

Arts: The trajectory we spun - a song dedicated to all
Cost: 3 purple, 1 any color
Power: 200, +50 vs green
If your Oshi holomem is <AZKi>, you may archive 4 of your holo Power:If you have 4 <Frontier Spirit> in your archive, your opponent gets life-1.",,UR
hBP07-070,"癒月ちょこ
(Yuzuki Choco)",,1st holomem,R,Purple,150,#JP #Gen 2 #Cooking,"Bloom Effect: What would you like for dinner today?
Look at the top 3 cards of your deck. Reveal 1 holomem with #Cooking from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: I'll do my best to make something delicious♡
Cost: 1 purple
Power: 30
Choose 1 of your holomem with #Cooking. During this turn, for each event with #Food you used this turn, the chosen holomem requires -1 colorless for its Arts.",,
hBP07-071,"ラプラス・ダークネス
(La+ Darknesss)",,Debut holomem,C,Purple,120,#JP #holoX #Shooter,"Collab Effect: Hey, you
Look at the top 5 cards of your deck. Reveal 1 purple Debut holomem from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: I want a homemade breakfast
Cost: 1 purple
Power: 30",,
hBP07-072,"ラプラス・ダークネス
(La+ Darknesss)",,1st holomem,U,Purple,150,#JP #holoX #Shooter,"Bloom Effect: Secret Love -La+-
Choose 1 of your holomem with #holoX, and roll a die 3 times. During this turn, for each odd result rolled, the chosen holomem gets Arts+10.

Arts: It's a secret between us
Cost: 1 purple, 1 any color
Power: 60",,
hBP07-073,"ラプラス・ダークネス
(La+ Darknesss)",,1st holomem,R,Purple,170,#JP #holoX #Shooter #Singing,"Collab Effect: I'm Live!!!!!!!!!
During this turn, this holomem requires -2 colorless for its Arts.

Arts: Is there anyone who will listen to my singing!?!?
Cost: 2 any color
Power: 30
Reveal 1 <La+ Darknesss> from your deck, and add it to hand. Then, shuffle the deck.",,
