Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text,,,,,,,,,
hSD02-002,"百鬼あやめ
(Nakiri Ayame)",,6,Debut holomem,C,Red,90,#JP #Gen 2 #Shooter,"Arts: Kon-Nakiri~
Cost: 1 red
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD02-003,"百鬼あやめ
(Nakiri Ayame)",,4,Debut holomem,C,Red,70,#JP #Gen 2 #Shooter,"Collab Effect: Karma
Deal 10 special damage to your opponent's collab holomem.

Arts: Shiranui
Cost: 1 any color
Power: 30",,,,,,,,,
hSD02-004,"百鬼あやめ
(Nakiri Ayame)",,2,Debut holomem,U,Red,60,#JP #Gen 2 #Shooter,"Collab Effect: One Year of Ayame
During this turn, if <Poyoyo> is attached to this holomem, your center holomem gets Arts+20.

Arts: Dango Tastes So Good
Cost: 1 red
Power: 30",,,,,,,,,
hSD02-005,"百鬼あやめ
(Nakiri Ayame)",,4,1st holomem,C,Red,140,#JP #Gen 2 #Shooter,"Arts: I'm Gonna Sleep~
Cost: 1 any color
Power: 20

Arts: OtsuNakiri
Cost: 1 red, 1 any color
Power: 60",,,,,,,,,
hSD02-006,"百鬼あやめ
(Nakiri Ayame)",,4,1st holomem,C,Red,140,#JP #Gen 2 #Shooter,"Bloom Effect: Birthday Party
You may archive 1 card from your hand:Deal 20 special damage to your opponent's center holomem or collab holomem.

Arts: Let's Celebrate Together
Cost: 1 red
Power: 30",,,,,,,,,
hSD02-007,"百鬼あやめ
(Nakiri Ayame)",,2,1st holomem,U,Red,120,#JP #Gen 2 #Shooter,"Bloom Effect: Which One♪
If bloomed from Debut, look at the top 2 cards of your deck. Reveal 1 card from among them, and add it to hand. Then, archive the remaining cards.

Arts: Don't Look Away when I Shine~~!!
Cost: 1 any color
Power: 30",,,,,,,,,
hSD02-008,"百鬼あやめ
(Nakiri Ayame)",,2,1st Buzz holomem,R,Red,230,#JP #Gen 2 #Shooter,"Arts: Fancy Birthday
Cost: 1 red, 1 any color
Power: 40

Arts: I Wonder what's Inside the Present?
Cost: 2 red, 1 any color
Power: 50
You may archive 1 card from your hand:Deal 50 special damage to your opponent's center holomem or collab holomem.

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD02-009,"百鬼あやめ
(Nakiri Ayame)",,2,2nd holomem,RR,Red,180,#JP #Gen 2 #Shooter,"Arts: AyaFubuMi's ""Aya""
Cost: 1 red
Power: 60, +50 vs Yellow

Arts: Tis I!
Cost: 2 red, 1 any color
Power: 40, +50 vs Yellow
You may archive 1~3 cards from your hand:Deal 40 special damage to your opponent's center holomem for each card archived.

[SR version available in hBP02 Quintet Spectrum]",,,,,,,,,
hSD02-010,"白上フブキ
(Shirakami Fubuki)",,2,Spot holomem,U,None,80,#JP #Gen 1 #GAMERS #Kemomimi #Painting,"Collab Effect: Come Back!
You may return 1 mascot from your archive to hand.

Arts: AyaFubuMi's ""Fubu""
Cost: 1 any color
Power: 20

Extra: This holomem cannot Bloom",,,,,,,,,
hSD02-011,"大神ミオ
(Ookami Mio)",,2,Spot holomem,U,None,50,#JP #GAMERS #Kemomimi #Cooking,"Collab Effect: Demon-Beast Gathering
You may archive 1 holomem from your hand:Send the top card of your cheer deck to your Debut holomem.

Arts: AyaFubuMi's ""Mi""
Cost: 1 any color
Power: 10

Extra: This holomem cannot Bloom",,,,,,,,,
hSD02-012,"いろはにほへっと あやふぶみ
(Irohanihohetto AyaFubuMi)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Shirakami Fubuki>, <Ookami Mio>, and <Nakiri Ayame> from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hSD02-013,"阿修羅＆羅刹
(Asura & Rakshasa)",,2,Support (Tool),C,,,,"The holomem this tool is attached to gets Arts+10.

◆Additional ability if attached to a 1st or greater <Nakiri Ayame>
The holomem this tool is attached to gets Arts+10.

Only 1 tool can be attached to each of your holomem.",,,,,,,,,
hSD02-014,"ぽよ余
(Poyoyo)",,2,Support (Mascot),C,,,#Shirakami's Character,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Nakiri Ayame>
When the holomem this mascot is attached to blooms, draw 1 card.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hSD01-018,"サブパソコン
(Sub PC)",,4,Support (Item),C,,,,"Look at the top 5 cards of your deck. Reveal 1 Limited support card from among them, and add it to hand. Then, return the rest to the bottom of the deck in any order.",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,1,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.",,,,,,,,,
hBP01-108,"じゃあ敵だね
(So, That Makes You My Enemy)",,1,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Swap your opponent's center holomem with 1 back holomem.",,,,,,,,,
hY03-001,"赤エール
(Red Cheer)",,20,Cheer,C,Red,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SD03 Blue: Nekomata Okayu,,,,,,,,,,,,,,,,,
hSD03-001,"猫又おかゆ
(Nekomata Okayu)",,1,Oshi holomem,OC,Blue,5,,"Oshi Skill holo Power -2: Blue Microphone
[1/Turn]During this turn, your blue center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Strike Back
[1/Game]Usable when your holomem deals damage to your opponent's back holomem:Deal 50 special damage to 1 of that opponent's back holomem.",,,,,,,,,
hSD03-002,"猫又おかゆ
(Nekomata Okayu)",,6,Debut holomem,C,Blue,100,#JP #GAMERS #Kemomimi,"Arts: Nom Nom Okayu~
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD03-003,"猫又おかゆ
(Nekomata Okayu)",,4,Debut holomem,C,Blue,70,#JP #GAMERS #Kemomimi,"Collab Effect: Pardon my Intrusion...!
If you have a center holomem with #GAMERS, deal 10 special damage to your opponent's center holomem and 1 of their back holomem. However, your opponent's life does not reduce even if downed.

Arts: Please Allow me Into Your Home
Cost: 1 blue
Power: 10",,,,,,,,,
hSD03-004,"猫又おかゆ
(Nekomata Okayu)",,2,Debut holomem,U,Blue,80,#JP #GAMERS #Kemomimi,"Collab Effect: Wanna Go to School with Me...?
You may reveal the top card of your deck:If the revealed card is a Debut holomem or Spot holomem, send the top card of your cheer deck to this holomem. Then, return the revealed card to the bottom of the deck.

Arts: Cat Student
Cost: 1 any color
Power: 20",,,,,,,,,
hSD03-005,"猫又おかゆ
(Nekomata Okayu)",,4,1st holomem,C,Blue,170,#JP #GAMERS #Kemomimi,"Arts: Gimme a Hug♡
Cost: 1 any color
Power: 30

Arts: Hehehe, a Little Prank
Cost: 1 blue, 1 any color
Power: 50",,,,,,,,,
hSD03-006,"猫又おかゆ
(Nekomata Okayu)",,4,1st holomem,C,Blue,140,#JP #GAMERS #Kemomimi #Singing,"Arts: The Cat That Swallowed the Canary
Cost: 1 blue
Power: 30

Arts: Shaaa
Cost: 1 blue, 1 any color
Power: 40
You may archive 1 blue cheer from this holomem:Deal 10 special damage to your opponent's center holomem and 1 of their back holomem.",,,,,,,,,
hSD03-007,"猫又おかゆ
(Nekomata Okayu)",,2,1st holomem,U,Blue,110,#JP #GAMERS #Kemomimi,"Bloom Effect: Let's Laugh Together Again!
You may send 1 cheer from your archive to your holomem with #GAMERS.

Arts: Singing with My Whole Heart
Cost: 1 any color
Power: 20",,,,,,,,,
hSD03-008,"猫又おかゆ
(Nekomata Okayu)",,2,1st Buzz holomem,R,Blue,240,#JP #GAMERS #Kemomimi,"Gift: CEO of Dorobo Construction
[Center position only]All [<Takane Lui>, <Ookami Mio>, <Shirakami Fubuki>, <La+ Darknesss>, and <Inugami Korone>] on your stage get Arts+20.

Arts: The Greatest Nekomata Okayu~
Cost: 1 blue, 1 any color
Power: 60

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD03-009,"猫又おかゆ
(Nekomata Okayu)",,2,2nd holomem,RR,Blue,190,#JP #GAMERS #Kemomimi,"Arts: Nom Nom
Cost: 1 blue, 1 any color
Power: 60, +50 vs White

Arts: Okayu~
Cost: 2 blue, 2 any color
Power: 100, +50 vs White
You may archive 2 blue cheers from this holomem:Deal 30 special damage to your opponent's center holomem and 1 of their back holomem.

[SR version available in hBP02 Quintet Spectrum]",,,,,,,,,
hSD03-010,"戌神ころね
(Inugami Korone)",,2,Spot holomem,U,None,70,#JP #GAMERS #Kemomimi,"Collab Effect: The Intern at Dorobo Construction
If your center holomem is <Nekomata Okayu>, reveal 1 [mascot or fan] from your deck, and add it to hand. Then, shuffle the deck.

Arts: 'Ere ya Go~
Cost: 1 any color
Power: 30

Extra: This holomem cannot Bloom",,,,,,,,,
hSD03-011,"ラプラス・ダークネス
(La+ Darknesss)",,2,Spot holomem,U,None,60,#JP #holoX #Shooter,"Arts: Dorobo Construction's Minister of Agriculture
Cost: 1 any color
Power: 10

Arts: I'll Definitely Make You Eat It
Cost: 2 any color
Power: 20
If your hand has 2 or less cards, draw cards until your hand has 3 cards.

Extra: This holomem cannot Bloom",,,,,,,,,
hSD03-012,"泥棒建設
(Dorobo Construction)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Nekomata Okayu>, <Takane Lui>, <Ookami Mio>, <Shirakami Fubuki>, <La+ Darknesss>, and <Inugami Korone> from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hSD03-013,"おかにゃん
(Oka-nyan)",,2,Support (Mascot),C,,,,"The holomem this mascot is attached to in the center position or collab position takes -10 damage.

◆Additional ability if attached to <Nekomata Okayu>
If the ability of the holomem this mascot is attached to would archive a cheer, you may archive this mascot instead of archiving a blue cheer.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hSD03-014,"おにぎりゃー
(Onigiryaa)",,2,Support (Fan),C,,,,"The holomem this fan is attached to gets +10 HP.

You may only attach this fan to your <Nekomata Okayu>, and you may attach any number of this fan per holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hSD01-019,"スゴイパソコン
(Amazing PC)",,2,Support (Item),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you archive 1 cheer from your stage.

Reveal 1 [1st holomem or 2nd holomem] other than Buzz from your deck, and add it to hand. Then, shuffle the deck.",,,,,,,,,
hBP01-105,"ペンライト
(Penlight)",,2,Support (Item),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you archive 1 of your holo Powers.

Reveal 1 cheer from your cheer deck with the same color as 1 of your holomem, and send it to your holomem. Then, shuffle the cheer deck.",,,,,,,,,
hBP01-108,"じゃあ敵だね
(So, That Makes You My Enemy)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Swap your opponent's center holomem with 1 back holomem.",,,,,,,,,
hY04-001,"青エール
(Blue Cheer)",,20,Cheer,C,Blue,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,SD04 Purple: Yuzuki Choco,,,,,,,,,,,,,,,,,
hSD04-001,"癒月ちょこ
(Yuzuki Choco)",,1,Oshi holomem,OC,Purple,5,,"Oshi Skill holo Power -2: Purple Microphone
[1/Turn]During this turn, your purple center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Card Change
[1/Game]Draw 2 cards, and archive 1 card from hand.",,,,,,,,,
hSD04-002,"癒月ちょこ
(Yuzuki Choco)",,6,Debut holomem,C,Purple,100,#JP #Gen 2 #Cooking,"Arts: Nurse of the Underworld
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD04-003,"癒月ちょこ
(Yuzuki Choco)",,4,Debut holomem,C,Purple,60,#JP #Gen 2 #Cooking,"Collab Effect: Good Evening~
If your Oshi holomem's color is purple, draw 1 card.

Arts: My Cute Students~
Cost: 1 purple, 1 any color
Power: 30",,,,,,,,,
hSD04-004,"癒月ちょこ
(Yuzuki Choco)",,2,Debut holomem,U,Purple,60,#JP #Gen 2 #Cooking,"Collab Effect: One Hell of a Meal
You may archive 1 card from your hand:Reveal 1 event with #Food from your deck, and add it to hand. Then, shuffle the deck.

Arts: Eat a Lot, Okay♡
Cost: 1 purple
Power: 20",,,,,,,,,
hSD04-005,"癒月ちょこ
(Yuzuki Choco)",,4,1st holomem,C,Purple,140,#JP #Gen 2 #Cooking,"Arts: Good Workolate......
Cost: 1 purple
Power: 20

Arts: Nom~ (Mwah)
Cost: 1 purple, 1 any color
Power: 40",,,,,,,,,
hSD04-006,"癒月ちょこ
(Yuzuki Choco)",,4,1st holomem,C,Purple,130,#JP #Gen 2 #Cooking,"Arts: Forbidden Kiss
Cost: 1 purple, 1 any color
Power: 30
When this Arts deals damage to your opponent's holomem, restore 10 HP to this holomem for every 10 damage dealt.",,,,,,,,,
hSD04-007,"癒月ちょこ
(Yuzuki Choco)",,2,1st holomem,U,Purple,110,#JP #Gen 2 #Cooking,"Bloom Effect: Choc-on!
You may return 1 event other than LIMITED from your archive to hand.

Arts: I Love You! Mwah♡
Cost: 2 any color
Power: 30
Restore 20 HP to 1 of your back holomem.",,,,,,,,,
hSD04-008,"癒月ちょこ
(Yuzuki Choco)",,2,1st Buzz holomem,R,Purple,230,#JP #Gen 2 #Cooking,"Arts: I Worked Hard to Make This
Cost: 1 purple, 1 any color
Power: 40

Arts: Bon Appétit
Cost: 2 purple, 1 any color
Power: 60+
You may return 1 event with #Food from your archive to hand:This Arts gets +20.

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD04-009,"癒月ちょこ
(Yuzuki Choco)",,2,2nd holomem,RR,Purple,190,#JP #Gen 2 #Cooking,"Arts: 33... 22... 11...
Cost: 1 purple, 1 any color
Power: 50, +50 vs Green

Arts: Go!
Cost: 2 purple, 1 any color
Power: 60+, +50 vs Green
This Arts gets +40 for each event you used this turn.

[SR version available in hBP02 Quintet Spectrum]",,,,,,,,,
hSD04-010,"大空スバル
(Oozora Subaru)",,2,Spot holomem,U,None,60,#JP #Gen 2,"Collab Effect: Chiyoko--!!
If your center holomem is <Yuzuki Choco>, you may send 1 cheer from your archive to your holomem.

Arts: I'll Make You Draw the Hell Lottery
Cost: 2 any color
Power: 20

Extra: This holomem cannot Bloom",,,,,,,,,
hSD04-011,"姫森ルーナ
(Himemori Luna)",,2,Spot holomem,U,None,60,#JP #Gen 4,"Collab Effect: Choco Teacher~
Look at your holo Power. Reveal 1 card from among them, and add it to hand. Then, put 1 card from your hand to holo Power.

Arts: Nna~~~~~~~~
Cost: 1 any color
Power: 10

Extra: This holomem cannot Bloom",,,,,,,,,
hSD04-012,"スバちょこルーナ
(SubaChocoLuna)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Oozora Subaru>, <Yuzuki Choco>, and <Himemori Luna> from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hSD04-013,"ちょこのオムライス
(Choco's Omurice)",,2,Support (Event),C,,,#Food,"Choose 1 of your holomem. Restore 20 HP to the chosen holomem. Then, if your stage has a holomem with #Cooking, during this turn, the chosen holomem gets Arts+20.",,,,,,,,,
hSD04-014,"しょこら
(Chocolat)",,2,Support (Mascot),C,,,,"The holomem this mascot is attached to gets +20 HP.

◆Additional ability if attached to <Yuzuki Choco>
When the holomem this mascot is attached to blooms, restore 20 HP to this holomem.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hSD01-019,"スゴイパソコン
(Amazing PC)",,2,Support (Item),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you archive 1 cheer from your stage.

Reveal 1 [1st holomem or 2nd holomem] other than Buzz from your deck, and add it to hand. Then, shuffle the deck.",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.",,,,,,,,,
hBP01-106,"あとは任せた！
(I leave the rest to you!)",,2,Support (Event),U,,,,Swap your center holomem with 1 non-resting back holomem.,,,,,,,,,
hY05-001,"紫エール
(Purple Cheer)",,20,Cheer,C,Purple,,,Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text
,hSD05 White: Todoroki Hajime,,,,,,,,,,,,,,,,,
hSD05-001,"轟はじめ
(Todoroki Hajime)",,1,Oshi holomem,OC,White,5,,"Oshi Skill holo Power -2: White Microphone
[1/Turn]During this turn, your white center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Quick Guard
[1/Game]During your opponent's turn, usable if your white holomem would take damage from your opponent:That holomem takes -20 Damage.",,,,,,,,,
hSD05-002,"轟はじめ
(Todoroki Hajime)",,6,Debut holomem,C,White,100,#DEV_IS #ReGLOSS #Baby,"Arts: Vroom, vroom, vroom!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD05-003,"轟はじめ
(Todoroki Hajime)",,4,Debut holomem,C,White,60,#DEV_IS #ReGLOSS #Baby,"Collab Effect: Kon-Chikuwa~
During this turn, your center holomem with #ReGLOSS gets Arts+10.

Arts: Stylish Badass
Cost: 1 any color
Power: 30",,,,,,,,,
hSD05-004,"轟はじめ
(Todoroki Hajime)",,2,Debut holomem,U,White,120,#DEV_IS #ReGLOSS #Baby,"Arts: ReGLOSS's resident badass
Cost: 1 white, 1 any color
Power: 40",,,,,,,,,
hSD05-005,"轟はじめ
(Todoroki Hajime)",,4,1st holomem,C,White,140,#DEV_IS #ReGLOSS #Baby,"Arts: YOROSHIKU!
Cost: 1 white
Power: 40

Arts: Yus!
Cost: 2 any color
Power: 60",,,,,,,,,
hSD05-006,"轟はじめ
(Todoroki Hajime)",,4,1st holomem,C,White,100,#DEV_IS #ReGLOSS #Baby,"Arts: The Light-Footed Todoroki Hajime
Cost: 1 any color
Power: 30

Arts: Thaaank youuu
Cost: 1 white, 1 any color
Power: 50+
If your stage has 3 or more holomem with #ReGLOSS and with different card names, this Arts gets +20.",,,,,,,,,
hSD05-007,"轟はじめ
(Todoroki Hajime)",,2,1st holomem,U,White,120,#DEV_IS #ReGLOSS #Baby,"Bloom Effect: Jane-of-all-Trades Aiming for Universe's #1 Badass
Draw 1 card.

Arts: Guts, Charm, and Being the Best
Cost: 1 any color
Power: 20",,,,,,,,,
hSD05-008,"轟はじめ
(Todoroki Hajime)",,2,1st Buzz holomem,R,White,230,#DEV_IS #ReGLOSS #Baby,"Arts: ......I'm Starting to Look Like a Real Badass!
Cost: 2 white
Power: 50
During this turn, 1 Debut holomem with #ReGLOSS on your stage gets Arts+40.

Extra: If this holomem is downed, you get life-2",,,,,,,,,
