Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Baton Pass,Text,Alternate Art,Rarity,Alternate Art 2,Rarity
hBP08-012,IRyS,,1st holomem,R,White,160,#EN #Promise #Singing,1,"Bloom Effect: A Road Illuminated by Hope
You may return 1 cheer from your stage to the bottom of the cheer deck: Send the top card of your cheer deck to your <IRyS>.

Arts: One Part Angel, One Part Demon
Cost: 1 white, 1 any color
Power: 50
If a purple cheer is attached to this holomem, deal 20 special damage to your opponent's center holomem.",,,,
hBP08-013,IRyS,,2nd holomem,U,White,200,#EN #Promise #Singing,2,"Gift: Victory Tea Time
When this holomem downs your opponent's holomem, put the top card of your deck as holo power.

Arts: Did it Make Your Heart Flutter?
Cost: 1 white, 1 any color
Power: 70+, +50 vs purple
If this holomem has purple cheer attached, this Arts gets +50.",,,,
hBP08-014,IRyS,,2nd holomem,RR,White,200,#EN #Promise #Singing,2,"Bloom Effect: The Light that Remains in Despair
Deal 30 special damage to your opponent's center holomem. Additionally, if a purple cheer is attached to this holomem, deal 30 special damage to your opponent's collab holomem.

Arts: Prismatic Anthem
Cost: 1 white, 2 any color
Power: 130+, +50 vs red
During this turn, all holomem on your stage get Arts+20 for each purple cheer attached to this holomem.",,UR,,
hBP08-015,"ときのそら
(Tokino Sora)",,Debut holomem,C,White,120,#JP #Gen 0 #Singing,1,"Gift: Can You Beat Me?
This holomem takes -10 Arts damage from your opponent's holomem.

Arts: Nine Darts
Cost: 1 any color
Power: 20",,,,
hBP08-016,"ときのそら
(Tokino Sora)",,1st holomem,U,White,180,#JP #Gen 0 #Singing,2,"Arts: Stairway to the Stars
Cost: 1 any color
Power: 30
If there are 3 or more <Tokino Sora> on your stage, draw 1 card.

Arts: To the Skies of Time
Cost: 1 white, 2 any color
Power: 90",,,,
hBP08-017,"ときのそら
(Tokino Sora)",,1st holomem,R,White,170,#JP #Gen 0 #Singing,1,"Collab Effect: ""Vah!""
Reveal 1 <Ankimo> from your deck, and add it to hand. Then, shuffle the deck.

Arts: Let's All Keep Moving Forward!
Cost: 1 white, 1 any color
Power: 40+
If you have a 2nd holomem with #Gen 0 on your stage, this Arts gets +20.",,,,
hBP08-018,"ときのそら
(Tokino Sora)",,2nd holomem,RR,White,210,#JP #Gen 0 #Singing,2,"Bloom Effect: I Want to Be an Idol
[Center Position・Collab Position Only] Draw 2 cards.

Arts: I Hope It Gets Everyone Excited!
Cost: 1 white, 3 any color
Power: 150, +50 vs red
If your Oshi holomem is Tokino Sora, choose 1 other <Tokino Sora> on your stage. During this turn, you may also target your opponent's back 2nd holomem with the chosen holomem's Arts.",,,,
hBP08-019,"ラオーラ・パンテーラ
(Raora Panthera)",,Debut holomem,U,White,120,#EN #Justice #Kemomimi #Painting,1,"Gift: Buon Appetito -Enjoy Your Meal-
■While this holomem does not have <Chattino> attached, this holomem requires -1 white cheer for its Arts.
■While this holomem has <Chattino> attached, this holomem gets +30 HP.

Arts: Let's Share This Happiness
Cost: 1 white
Power: 10
If this holomem does not have <Chattino> attached, attach 1 <Chattino> from your deck to this holomem. Then, shuffle the deck.",,,,
hBP08-020,"響咲リオナ
(Isaki Riona)",,2nd holomem,R,White,180,#DEV_IS #FLOW GLOW,2,"Collab Effect: Sexy Dance Queen
You may archive 1~2 cards from the top of your deck: Draw 1 card for each card archived.

Arts: A Challenging Gaze
Cost: 1 white, 1 any color
Power: 110+, +50 vs red
If you have archived 3 cards from your deck this turn, this Arts gets +40.",,,,
hBP08-021,"セシリア・イマーグリーン
(Cecilia Immergreen)",,Debut holomem,C,Green,120,#EN #Justice #Language,0,"Collab Effect: Automaton, Roll Out!
If you went second and it is your first turn, reveal 2 <Otomo> from your deck, and add them to hand. Then, shuffle the deck.

Arts: Let the Festival Resound
Cost: 1 any color
Power: 30",,,,
hBP08-022,"セシリア・イマーグリーン
(Cecilia Immergreen)",,Debut holomem,U,Green,130,#EN #Justice #Language,0,"Gift: Escapement
When this holomem uses baton pass and moves to the back position, this holomem is rested.

Arts: Let's Do It Elegantly
Cost: 1 any color
Power: 20",,,,
hBP08-023,"セシリア・イマーグリーン
(Cecilia Immergreen)",,1st holomem,C,Green,150,#EN #Justice #Language,1,"Bloom Effect: Time to Be Together
You may rest this holomem. Then, if you have 2 or more resting holomem with #Justice, restore 50 HP to 1 of your holomem.

Arts: Very, Very Special!
Cost: 1 green
Power: 40",,,,
hBP08-024,"セシリア・イマーグリーン
(Cecilia Immergreen)",,1st holomem,C,Green,170,#EN #Justice #Language,1,"Gift: Gute Reise -Have a Nice Trip-
[Center Position・Collab Position Only] During your opponent's main phase, the HP of all of your resting <Cecilia Immergreen> cannot be reduced or changed by your opponent's abilities.

Arts: Wherever the Wind Takes You
Cost: 1 green
Power: 60
Rest this holomem.",,,,
hBP08-025,"セシリア・イマーグリーン
(Cecilia Immergreen)",,1st holomem,R,Green,160,#EN #Justice #Language,1,"Collab Effect: Café Time
If you have 2 or more resting holomem with #Justice, during this turn, all holomem on your stage get Arts+20.

Arts: Isn't It Important to Take Breaks?
Cost: 1 any color
Power: 30",,,,
hBP08-026,"セシリア・イマーグリーン
(Cecilia Immergreen)",,2nd holomem,U,Green,200,#EN #Justice #Language,2,"Collab Effect: Mechanical Streich
If you have 2 or more resting holomem with #Justice, during this turn, this holomem gets Arts+50.

Arts: Musical Winde
Cost: 1 green, 1 any color
Power: 90, +50 vs blue",,,,
hBP08-027,"セシリア・イマーグリーン
(Cecilia Immergreen)",,2nd holomem,RR,Green,210,#EN #Justice #Language,2,"Bloom Effect: Clockwork Rhapsody
Send 1 cheer from your archive to this holomem for each of your resting holomem with #Justice.

Arts: Verdant Sturm
Cost: 1 green, 3 any color
Power: 200, +50 vs yellow
Draw 1 card for each of your resting holomem with #Justice. Then, rest this holomem.",,UR,,
hBP08-028,"アキ・ローゼンタール
(Aki Rosenthal)",,1st holomem,R,Green,170,#JP #Gen 1 #Half-Elf #Alcohol #Summer,1,"Bloom Effect: holonatsu Extra Large Parfait
Choose 1 of your <Aki Rosenthal> with tool attached. During this turn, the chosen holomem gets Arts+20. If the chosen holomem is a Buzz holomem or 2nd holomem, that holomem gets Arts+50 instead.

Arts: Would You Like a Bite?
Cost: 1 green, 1 any color
Power: 50
Restore 30 HP to 1 of your holomem with tool attached.",,,,
hBP08-029,"風真いろは
(Kazama Iroha)",,Debut holomem,U,Green,120,#JP #holoX,1,"Gift: Secret Love -Iroha-
[Collab Position Only] [1/Turn] During your opponent's turn, when your center holomem with #holoX takes Arts damage, put the top card of your deck to holo Power.

Arts: On a Top Secret Mission, I Daresay
Cost: 1 green
Power: 20",,,,
hBP08-030,"パヴォリア・レイネ
(Pavolia Reine)",,Debut holomem,C,Green,130,#ID #ID Gen 2 #Bird #Painting,1,"Collab Effect: Step By Step
You may archive 1 holomem with #ID Gen 2 from your hand: Send the top card of your cheer deck to your back holomem.

Arts: Please Keep This in Mind...
Cost: 1 any color
Power: 10",,,,
hBP08-031,"パヴォリア・レイネ
(Pavolia Reine)",,1st Buzz holomem,R,Green,250,#ID #ID Gen 2 #Bird #Painting,2,"Gift: SPY-C1000
[Center Position・Collab Position Only][1/Turn] During your turn, when your cheer is moved to archive, draw 1 card.

Arts: GWS+
Cost: 1 green, 1 any color
Power: 60
Archive the top card of your cheer deck. For every cheer color on your stage, restore 10 HP to 1 of your holomem.

Extra: If this holomem is downed, you get life-2",,,,
hBP08-032,"パヴォリア・レイネ
(Pavolia Reine)",,2nd holomem,U,Green,180,#ID #ID Gen 2 #Bird #Painting,2,"Bloom Effect: On a New Journey
Choose 1 2nd holomem [<Kureiji Ollie> or <Anya Melfissa>] on your stage. During this turn, the chosen holomem gets Arts+70.

Arts: Structural Color
Cost: 2 any color
Power: 80+, +50 vs blue
If you have a holomem with #ID Gen 2 other than <Pavolia Reine> with purple cheer or yellow cheer attached, this Arts gets +70.",,,,
hBP08-033,"パヴォリア・レイネ
(Pavolia Reine)",,2nd holomem,RR,Green,190,#ID #ID Gen 2 #Bird #Painting,2,"Collab Effect: Watcher's Gaze
Send 1 cheer from your cheer deck to your holomem with #ID. Then, shuffle the cheer deck.

Arts: Knockout Twist
Cost: 1 green, 2 any color
Power: 140, +50 vs blue
Send 1~2 cheers from your archive to 1 of your <Pavolia Reine>.",,,,
hBP08-034,"モココ・アビスガード
(Mococo Abyssgard)",,Debut holomem,C,Red,120,#EN #Advent #Kemomimi,0,"Collab Effect: Trust in FUWAMOCO!
If you went second and it is your first turn, place 1 debut holomem [<Fuwawa Abyssgard> and <Mococo Abyssgard>] each from your deck on stage. Then, shuffle the deck.

Arts: Your Fuzzy Mococo
Cost: 1 any color
Power: 30",,,,
hBP08-035,"モココ・アビスガード
(Mococo Abyssgard)",,Debut holomem,U,Red,130,#EN #Advent #Kemomimi,1,"Arts: Yay, a Big Win!
Cost: 1 red
Power: 10+
If a blue cheer is attached to this holomem, this Arts gets +30.",,,,
hBP08-036,"モココ・アビスガード
(Mococo Abyssgard)",,1st holomem,C,Red,140,#EN #Advent #Kemomimi,1,"Bloom Effect: Dokidoki Doggy -Mococo-
Reveal 1 [<Pero>, <Ruffians> or <Mischievous Ruffians>] from your deck, and add it to hand. Then, shuffle the deck.

Arts: Together ""BAU""DOL✩★
Cost: 1 any color
Power: 40",,,,
hBP08-037,"モココ・アビスガード
(Mococo Abyssgard)",,1st holomem,R,Red,170,#EN #Advent #Kemomimi,1,"Bloom Effect: Twinkle Idol
If you have <Fuwawa Abyssgard> on your stage, deal 20 special damage to your opponent's center holomem or collab holomem.

Arts: GanBAUrune!
Cost: 2 red
Power: 30
If 2 blue cheers are attached to this holomem, send the top card of your cheer deck to your <Fuwawa Abyssgard>.",,,,
hBP08-038,"モココ・アビスガード
(Mococo Abyssgard)",,2nd holomem,R,Red,190,#EN #Advent #Kemomimi,2,"Collab Effect: It's a Magical Weapon!
If your Oshi holomem is blue <FUWAMOCO>, return 1 holomem with #Advent from your archive to hand.

Arts: Mococo's Gonna Win!
Cost: 2 any color
Power: 100, +50 vs green",,,,
hBP08-039,"モココ・アビスガード
(Mococo Abyssgard)",,2nd holomem,RR,Red,200,#EN #Advent #Kemomimi,2,"Bloom Effect: Trust from the Abyss
If your stage has 6 or more blue cheers, set 1 of your resting <Fuwawa Abyssgard> to active.

Arts: Fuzzy Bounty Hunter
Cost: 3 red
Power: 90+, +50 vs purple
For each blue cheer attached to this holomem, this Arts gets +20. Then, choose any number of blue cheers attached to this holomem, and reattach them to 1 of your <Fuwawa Abyssgard>.",,,,
hBP08-040,"百鬼あやめ
(Nakiri Ayame)",,1st Buzz holomem,R,Red,220,#JP #Gen 2 #Shooter,2,"Collab Effect: Drawn In By the Scent of Sakura
If this holomem has <Demon Blade Asura> attached, and your opponent has no collab holomem, your opponent moves 1 of their back holomem to the collab position (Moving is not regarded as collab).

Arts: Sakura Viewing Date
Cost: 1 red, 1 any color
Power: 30+
This Arts gets +10 for each red cheer in your archive.

Extra: If this holomem is downed, you get life-2",,,,
hBP08-041,"小鳥遊キアラ
(Takanashi Kiara)",,Debut holomem,C,Red,130,#EN #Myth #Bird,1,"Gift: Phoenix Style Aerobics
During your opponent's turn, when this holomem is downed, you may return this holomem to hand instead of archive.

Arts: It's a Real ""Fever Night""!!!
Cost: 1 any color
Power: 20
Archive the top card of your deck.",,,,
hBP08-042,"小鳥遊キアラ
(Takanashi Kiara)",,1st holomem,U,Red,170,#EN #Myth #Bird,1,"Bloom Effect: Guten Morgen -Good Morning-
You may archive 1~3 cards from your hand: Choose 1 holomem on your stage. During this turn, the chosen holomem gets Arts+10 for each card archived by this ability.

Arts: Kiwawa with Chonkers & Smoothie
Cost: 1 red
Power: 40",,,,
hBP08-043,"小鳥遊キアラ
(Takanashi Kiara)",,1st Buzz holomem,R,Red,240,#EN #Myth #Bird,2,"Collab Effect: Firebird Sword Dance
If you have 10 or more holomem in your archive, during this turn, this holomem requires -2 red cheer for its Arts.

Arts: Resolve to Survive
Cost: 2 red
Power: 50
If all holomem on your stage have #Myth, put the top card of your deck to holo Power.

Extra: If this holomem is downed, you get life-2",,,,
hBP08-044,"小鳥遊キアラ
(Takanashi Kiara)",,2nd holomem,RR,Red,170,#EN #Myth #Bird,2,"Gift: The Light Shines Again
During your main phase, if your archive has 10 or more holomem, you may bloom 1 of your holomem using this holomem from your archive. (This ability can only be used while this holomem is in archive)

Arts: Fearless Fire Vogel
Cost: 2 red
Power: 100, +50 vs purple
Archive 1~3 cards from the top of your deck.",,UR,,
hBP08-045,"ハコス・ベールズ
(Hakos Baelz)",,2nd holomem,R,Red,200,#EN #Promise #Kemomimi,2,"Collab Effect: Looks Like a Bountiful Harvest This Year!
During this turn, when you roll a die for the ability of your Oshi holomem <Hakos Baelz> or your holomem <Hakos Baelz>, regard all numbers on the die as doubled.

Arts: I Want to Live True to Myself
Cost: 1 red
Power: 50+, +50 vs green
Choose 1 holomem on your stage and roll a die once. During this turn, the chosen holomem gets Arts+10x the result.",,,,
hBP08-046,"エリザベス・ローズ
ブラッドフレイム
(Elizabeth Rose Bloodflame)",,1st holomem,R,Red,170,#EN #Justice #Singing,1,"Gift: Majestic Devotion
[Collab Position Only] During your opponent's turn, when your holomem with #Justice other than this holomem is downed, reveal 1 2nd holomem from your deck and add it to hand. Then, shuffle the deck.

Arts: Sweet Tooth
Cost: 1 red
Power: 30",,,,
hBP08-047,"水宮枢
(Mizumiya Su)",,Debut holomem,C,Blue,120,#DEV_IS #FLOW GLOW,1,"Collab Effect: Yes, Genius!
If you went second and it is your first turn, draw 1 card, and draw 1 more card for each colorless required for your opponent's center holomem's baton pass.

Arts: Is Your Su-Charge at 100%?
Cost: 1 blue
Power: 30",,,,
hBP08-048,"水宮枢
(Mizumiya Su)",,Debut holomem,U,Blue,110,#DEV_IS #FLOW GLOW,1,"Collab Effect: 183cm With Aura
You may archive 1 cheer from your stage: Reveal 1 <Aura> from your deck, and add it to hand. Then, shuffle the deck.

Arts: Big. Huge. Strong.
Cost: 1 any color
Power: 30",,,,
hBP08-049,"水宮枢
(Mizumiya Su)",,1st holomem,C,Blue,140,#DEV_IS #FLOW GLOW,1,"Gift: I Get You on the Phone All to Myself
[Collab Position Only]While you have a center holomem with #FLOW GLOW, your opponent's holomem's Arts can only target your collab holomem. However, it excludes special damage.

Arts: If It's Okay with You, Let's Talk More
Cost: 1 blue, 1 any color
Power: 50",,,,
hBP08-050,"水宮枢
(Mizumiya Su)",,1st holomem,C,Blue,160,#DEV_IS #FLOW GLOW,1,"Gift: Should I Leave It to You?
During your opponent's turn, when this holomem is downed, send the top card of your cheer deck to your back holomem.

Arts: Let's Build a Snowman
Cost: 1 blue
Power: 20
Send 1 cheer from your archive to your holomem.",,,,
hBP08-051,"水宮枢
(Mizumiya Su)",,1st holomem,R,Blue,170,#DEV_IS #FLOW GLOW,1,"Gift: Love to Egosearch
[Center Position Only] When your <Mizumiya Su> collabs, choose your opponent's center holomem. Until the end of your opponent's next turn, the chosen holomem requires +1 colorless for its baton pass.

Arts: For 8 Hours 35 Minutes
Cost: 1 blue, 1 any color
Power: 40
Send the top card of your cheer deck to your <Mizumiya Su>.",,,,
hBP08-052,"水宮枢
(Mizumiya Su)",,2nd holomem,U,Blue,210,#DEV_IS #FLOW GLOW,2,"Arts: Energy Restoration Gummi
Cost: 1 blue
Power: 70, +50 vs red
If your opponent's center holomem requires 5 or more colorless cheers for its baton pass, send the top card of your cheer deck to your <Mizumiya Su>.

Arts: Gummis Are Yummy
Cost: 1 blue, 3 any color
Power: 180, +50 vs red",,,,
hBP08-053,"水宮枢
(Mizumiya Su)",,2nd holomem,RR,Blue,160,#DEV_IS #FLOW GLOW,2,"Gift: Shupi-shuwa~~!!!!
[Center Position Only] While your opponent's center holomem requires 5 or more colorless cheers for its baton pass, your opponent's center holomem requires +2 colorless cheers for its Arts.

Arts: Deliver This Love
Cost: 2 blue, 1 any color
Power: 50, +50 vs white
If your opponent's center holomem requires 5 or more colorless cheers for its baton pass, deal 100 special damage to 1 of your opponent's holomem other than Debut.",,,,
hBP08-054,"ムーナ・ホシノヴァ
(Moona Hoshinova)",,2nd holomem,R,Blue,200,#ID #ID Gen 1 #Singing,2,"Bloom Effect: This Bond Is Us!
If your Oshi holomem's color is green, blue or yellow, send 1 blue cheer each from your archive to 1~3 of your holomem with #ID Gen 1.

Arts: You're Not Alone, We're Together Now
Cost: 3 any color
Power: 130, +50 vs red
You may archive 3 cheers from this holomem: Draw 3 cards.",,,,
hBP08-055,"フワワ・アビスガード
(Fuwawa Abyssgard)",,Debut holomem,C,Blue,110,#EN #Advent #Kemomimi,1,"Collab Effect: With FUWAMOCO, Everything Will Be Okay
Send 1 cheer from your archive to your holomem with #Advent.

Arts: Your Fluffy Fuwawa
Cost: 1 blue
Power: 20
If a red cheer is attached to this holomem, draw 1 card.",,,,
hBP08-056,"フワワ・アビスガード
(Fuwawa Abyssgard)",,1st holomem,U,Blue,160,#EN #Advent #Kemomimi,1,"Collab Effect: Dokidoki Doggy -Fuwawa-
Reveal 1 1st holomem <Mococo Abyssgard> from your deck, and add it to hand. Then, shuffle the deck.

Arts: I'm Going to Give It My All!
Cost: 1 any color
Power: 40",,,,
hBP08-057,"フワワ・アビスガード
(Fuwawa Abyssgard)",,1st holomem,R,Blue,180,#EN #Advent #Kemomimi,1,"Collab Effect: Swing in the Sunlight Filtering through the Trees
You may choose any number of cheers on your stage, and reattach them to 1 of your <Mococo Abyssgard>. Then, if your stage has 8 or more cheers, during this turn, this holomem gets Arts+40.

Arts: Two People Close Together
Cost: 1 blue
Power: 30+
If a red cheer is attached to this holomem, this Arts gets +20.",,,,
hBP08-058,"フワワ・アビスガード
(Fuwawa Abyssgard)",,2nd holomem,R,Blue,200,#EN #Advent #Kemomimi,2,"Arts: There's No Way You'll Win!
Cost: 1 blue, 1 any color
Power: 100, +50 vs white
Choose 1-2 blue cheers from your archive, and send them to your holomem with #Advent as you choose.

Arts: Now It's Our Turn!
Cost: 2 blue, 2 any color
Power: 160, +50 vs white
If your Oshi holomem is blue <FUWAMOCO>, you may archive 2 cheers from this holomem: Deal 50 special damage to 1 of your opponent's holomem other than Debut.",,,,
hBP08-059,"フワワ・アビスガード
(Fuwawa Abyssgard)",,2nd holomem,RR,Blue,210,#EN #Advent #Kemomimi,2,"Gift: Love from the Abyss
While your stage has 6 or more red cheers, you may also target your opponent's back holomem other than Debut with this holomem's Arts.

Arts: Fluffy Boundary Spanner
Cost: 3 blue
Power: 80+, +50 vs white
If your <Mococo Abyssgard> used Arts this turn, this Arts gets +50. Then, choose any number of red cheers attached to this holomem, and reattach them to 1 of your <Mococo Abyssgard>.",,,,
hBP08-060,FUWAMOCO,,1st holomem,R,Red/Blue,170,#EN #Advent #Kemomimi,1,"Gift: ""BAU"" DOL♡
[Collab Position Only] Your Oshi Skill ""Moco-chan!"" has its ""[holo Power:-3]"" changed to ""[holo Power:-2]"".

Arts: Together Forever♡
Cost: 2 any color
Power: 50
If your Oshi holomem is blue <FUWAMOCO>, put the top card of your deck to holo Power.

Extra: This holomem is also regarded as <Fuwawa Abyssgard> <Mococo Abyssgard>",,,,
hBP08-061,"鷹嶺ルイ
(Takane Lui)",,Debut holomem,C,Purple,120,#JP #holoX #Bird #Alcohol,1,"Collab Effect: Secret Society Hospitality
If you went second and it is your first turn, and your Oshi holomem is <Takane Lui>, your opponent adds the top card of their holo Power to hand.

Arts: Have Some holoX Coffee
Cost: 1 any color
Power: 30",,,,
hBP08-062,"鷹嶺ルイ
(Takane Lui)",,Debut holomem,U,Purple,130,#JP #holoX #Bird #Alcohol,1,"Collab Effect: Prepared to be Taken Down
You may archive 1 card from your hand: Place 1 Debut holomem with Extra ""You may include any number of this holomem in the deck"" from your deck on stage. Then, shuffle the deck.

Arts: The Will to Take Down
Cost: 1 any color
Power: 20",,,,
hBP08-063,"鷹嶺ルイ
(Takane Lui)",,1st holomem,C,Purple,150,#JP #holoX #Bird #Alcohol,1,"Collab Effect: holoX Deal
Look at the top 3 cards of your deck. Reveal 1 holomem with #holoX from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: How Do You Like It???
Cost: 1 purple
Power: 40",,,,
hBP08-064,"鷹嶺ルイ
(Takane Lui)",,1st holomem,C,Purple,170,#JP #holoX #Bird #Alcohol,1,"Collab Effect: Large Problems
You may archive 1 card from your hand: Deal 30 special damage to your opponent's center holomem or collab holomem.

Arts: Odd Jobs in the Sleepless City
Cost: 1 any color
Power: 20
Attach 1 <Lui-tomo> from your deck to 1 of your holomem. Then, shuffle the deck.",,,,
hBP08-065,"鷹嶺ルイ
(Takane Lui)",,1st holomem,R,Purple,180,#JP #holoX #Bird #Alcohol,2,"Bloom Effect: It's a Long Shot!
[Center Position Only] You may archive 1 card from your hand: Roll a die once. If it is 1, draw 3 cards. If it is a number other than 1, draw 1 card.

Arts: I'm Gonna Win!
Cost: 2 purple
Power: 50+
If your hand has 2 or less cards, this Arts gets +30.",,,,
hBP08-066,"鷹嶺ルイ
(Takane Lui)",,2nd holomem,U,Purple,200,#JP #holoX #Bird #Alcohol,2,"Collab Effect: Is My Face That Red?
You may return 1 support card from your archive to the top of your deck.

Arts: Let's Sober Up, Shall We?
Cost: 1 any color
Power: 60+, +50 vs yellow
You may archive 1~2 cards from your hand: This Arts gets +20 for each card archived.",,,,
hBP08-067,"鷹嶺ルイ
(Takane Lui)",,2nd holomem,RR,Purple,200,#JP #holoX #Bird #Alcohol,2,"Bloom Effect: Violet Domination
[Center Position Only] You may archive 2 cards from your hand: Reattach 1 cheer on your opponent's stage to their holomem.

Arts: One-Move Comeback
Cost: 3 purple
Power: 130+, +50 vs green
If your hand has 2 or less cards, this Arts gets +50. If your hand has no cards, this Arts gets +70 instead.",,UR,,
hBP08-068,"一伊那尓栖
(Ninomae Ina'nis)",,Debut holomem,C,Purple,140,#EN #Myth #Painting #Sea,1,"Collab Effect: Tako This!
If you went second and it is your first turn, during this turn, all of your opponent's holomem are regarded as holomem with all colors.

Arts: Dreamt I Went Outside
Cost: 1 purple
Power: 10
Deal 20 special damage to your opponent's center holomem and collab holomem with a different color to their Oshi holomem.",,,,
hBP08-069,"一伊那尓栖
(Ninomae Ina'nis)",,Debut holomem,U,Purple,100,#EN #Myth #Painting #Sea,1,"Collab Effect: Arrival of Summer
If there are 3 or more holomem with #Painting on your stage, draw 1 card.

Arts: That Went Well, But We Can Do Better
Cost: 1 any color
Power: 30",,,,
hBP08-070,"一伊那尓栖
(Ninomae Ina'nis)",,1st holomem,C,Purple,180,#EN #Myth #Painting #Sea,2,"Collab Effect: Ina Imagination
Reveal 1 <Takodachi> from your deck, and add it to hand. Then, shuffle the deck.

Arts: My Lifelong Friend
Cost: 1 purple
Power: 30
Restore 10 HP to 1 of your holomem with #Myth for each holomem on your opponent's stage with a different color to their Oshi holomem.",,,,
hBP08-071,"一伊那尓栖
(Ninomae Ina'nis)",,1st holomem,C,Purple,150,#EN #Myth #Painting #Sea,1,"Bloom Effect: TOMORROW!?
Deal 20 special damage to 1 of your opponent's holomem with a different color to their Oshi holomem.

Arts: Bonk!
Cost: 2 any color
Power: 50",,,,
